"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2024-06-01 00:00:00","2024-06-01 00:00:00","Potrero Hill","Missing Person","Missing Person","Open or Active","Bayview","Missing Adult","240343274"
"2024-06-01 00:00:00","2024-06-01 00:00:00","Financial District/South Beach","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Southern","Vehicle, Stolen, Auto","240348127"
"2024-06-01 00:00:00","2024-06-01 00:00:00","Financial District/South Beach","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Southern","Vehicle, Stolen, Auto","240348127"
"2024-06-01 00:00:00","2024-06-01 00:00:00","Inner Richmond","Fraud","Fraud","Open or Active","Richmond","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","240345703"
"2024-06-01 00:00:00","2024-06-01 00:00:00","Financial District/South Beach","Burglary","Burglary","Open or Active","Southern","Burglary, Other Bldg., Unlawful Entry","240348127"
"2024-06-01 00:00:00","2024-06-01 00:05:00","Financial District/South Beach","Suspicious Occ","Suspicious Occ","Open or Active","Central","Suspicious Occurrence","240344915"
"2024-06-01 00:00:00","2024-06-01 00:11:00","Financial District/South Beach","Fire Report","Fire Report","Open or Active","Southern","Fire Report","240342533"
"2024-06-01 00:00:00","2024-06-01 00:15:00","Financial District/South Beach","Malicious Mischief","Malicious Mischief","Open or Active","Southern","Malicious Mischief, Vandalism to Vehicle","240343406"
"2024-06-01 00:00:00","2024-06-01 00:54:00","Sunset/Parkside","Weapons Carrying Etc","Weapons Carrying Etc","Cite or Arrest Adult","Taraval","Firearm, Possession of Loaded","240342583"
"2024-06-01 00:00:00","2024-06-01 00:54:00","Sunset/Parkside","Stolen Property","Stolen Property","Cite or Arrest Adult","Taraval","Stolen Property, Possession with Knowledge, Receiving","240342583"
"2024-06-01 00:00:00","2024-06-01 00:54:00","Sunset/Parkside","Weapons Carrying Etc","Weapons Carrying Etc","Cite or Arrest Adult","Taraval","Firearm, Possession By Prohibited Person","240342583"
"2024-06-01 00:00:00","2024-06-01 01:00:00","Tenderloin","Suspicious Occ","Suspicious Occ","Open or Active","Central","Suspicious Occurrence","240343597"
"2024-06-01 00:00:00","2024-06-01 01:00:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","246071916"
